date,used,wday,year,month,day_of_year,day_of_month,day_of_week
1/1/2019,8068,Thu,2019,1,1,1,5
1/2/2019,10850,Fri,2019,1,2,2,6
1/3/2019,8328,Sat,2019,1,3,3,7
1/4/2019,7065,Sun,2019,1,4,4,1
1/5/2019,11892,Mon,2019,1,5,5,2
1/6/2019,12425,Tue,2019,1,6,6,3
1/7/2019,12141,Wed,2019,1,7,7,4
1/8/2019,12094,Thu,2019,1,8,8,5
1/9/2019,11868,Fri,2019,1,9,9,6
1/10/2019,8014,Sat,2019,1,10,10,7
1/11/2019,7172,Sun,2019,1,11,11,1
1/12/2019,11479,Mon,2019,1,12,12,2
1/13/2019,11924,Tue,2019,1,13,13,3
1/14/2019,12013,Wed,2019,1,14,14,4
1/15/2019,12339,Thu,2019,1,15,15,5
1/16/2019,11861,Fri,2019,1,16,16,6
1/17/2019,8280,Sat,2019,1,17,17,7
1/18/2019,7195,Sun,2019,1,18,18,1
1/19/2019,10602,Mon,2019,1,19,19,2
1/20/2019,12242,Tue,2019,1,20,20,3
1/21/2019,12086,Wed,2019,1,21,21,4
1/22/2019,11949,Thu,2019,1,22,22,5
1/23/2019,11910,Fri,2019,1,23,23,6
1/24/2019,8235,Sat,2019,1,24,24,7
1/25/2019,7186,Sun,2019,1,25,25,1
1/26/2019,11728,Mon,2019,1,26,26,2
1/27/2019,11882,Tue,2019,1,27,27,3
1/28/2019,11602,Wed,2019,1,28,28,4
1/29/2019,11967,Thu,2019,1,29,29,5
1/30/2019,11571,Fri,2019,1,30,30,6
1/31/2019,7987,Sat,2019,1,31,31,7
2/1/2019,7139,Sun,2019,2,32,1,1
2/2/2019,11480,Mon,2019,2,33,2,2
2/3/2019,12079,Tue,2019,2,34,3,3
2/4/2019,11924,Wed,2019,2,35,4,4
2/5/2019,11821,Thu,2019,2,36,5,5
2/6/2019,11656,Fri,2019,2,37,6,6
2/7/2019,8285,Sat,2019,2,38,7,7
2/8/2019,7265,Sun,2019,2,39,8,1
2/9/2019,11937,Mon,2019,2,40,9,2
2/10/2019,12291,Tue,2019,2,41,10,3
2/11/2019,11911,Wed,2019,2,42,11,4
2/12/2019,12285,Thu,2019,2,43,12,5
2/13/2019,11321,Fri,2019,2,44,13,6
2/14/2019,8390,Sat,2019,2,45,14,7
2/15/2019,7508,Sun,2019,2,46,15,1
2/16/2019,11038,Mon,2019,2,47,16,2
2/17/2019,11952,Tue,2019,2,48,17,3
2/18/2019,12061,Wed,2019,2,49,18,4
2/19/2019,11968,Thu,2019,2,50,19,5
2/20/2019,11864,Fri,2019,2,51,20,6
2/21/2019,8343,Sat,2019,2,52,21,7
2/22/2019,7254,Sun,2019,2,53,22,1
2/23/2019,11260,Mon,2019,2,54,23,2
2/24/2019,11941,Tue,2019,2,55,24,3
2/25/2019,11828,Wed,2019,2,56,25,4
2/26/2019,11672,Thu,2019,2,57,26,5
2/27/2019,11596,Fri,2019,2,58,27,6
2/28/2019,7989,Sat,2019,2,59,28,7
3/1/2019,7273,Sun,2019,3,60,1,1
3/2/2019,11609,Mon,2019,3,61,2,2
3/3/2019,12402,Tue,2019,3,62,3,3
3/4/2019,11927,Wed,2019,3,63,4,4
3/5/2019,11681,Thu,2019,3,64,5,5
3/6/2019,11612,Fri,2019,3,65,6,6
3/7/2019,7980,Sat,2019,3,66,7,7
3/8/2019,6929,Sun,2019,3,67,8,1
3/9/2019,11678,Mon,2019,3,68,9,2
3/10/2019,12282,Tue,2019,3,69,10,3
3/11/2019,11850,Wed,2019,3,70,11,4
3/12/2019,12042,Thu,2019,3,71,12,5
3/13/2019,10940,Fri,2019,3,72,13,6
3/14/2019,8217,Sat,2019,3,73,14,7
3/15/2019,7202,Sun,2019,3,74,15,1
3/16/2019,11537,Mon,2019,3,75,16,2
3/17/2019,12312,Tue,2019,3,76,17,3
3/18/2019,11807,Wed,2019,3,77,18,4
3/19/2019,11721,Thu,2019,3,78,19,5
3/20/2019,12040,Fri,2019,3,79,20,6
3/21/2019,8080,Sat,2019,3,80,21,7
3/22/2019,7171,Sun,2019,3,81,22,1
3/23/2019,11674,Mon,2019,3,82,23,2
3/24/2019,12333,Tue,2019,3,83,24,3
3/25/2019,11872,Wed,2019,3,84,25,4
3/26/2019,12065,Thu,2019,3,85,26,5
3/27/2019,11629,Fri,2019,3,86,27,6
3/28/2019,8071,Sat,2019,3,87,28,7
3/29/2019,7125,Sun,2019,3,88,29,1
3/30/2019,11500,Mon,2019,3,89,30,2
3/31/2019,12362,Tue,2019,3,90,31,3
4/1/2019,11596,Wed,2019,4,91,1,4
4/2/2019,12296,Thu,2019,4,92,2,5
4/3/2019,11234,Fri,2019,4,93,3,6
4/4/2019,7981,Sat,2019,4,94,4,7
4/5/2019,6821,Sun,2019,4,95,5,1
4/6/2019,11455,Mon,2019,4,96,6,2
4/7/2019,12334,Tue,2019,4,97,7,3
4/8/2019,11976,Wed,2019,4,98,8,4
4/9/2019,11874,Thu,2019,4,99,9,5
4/10/2019,11724,Fri,2019,4,100,10,6
4/11/2019,8092,Sat,2019,4,101,11,7
