date,used
1/1/2019,8068
1/2/2019,10850
1/3/2019,8328
1/4/2019,7065
1/5/2019,11892
1/6/2019,12425
1/7/2019,12141
1/8/2019,12094
1/9/2019,11868
1/10/2019,8014
1/11/2019,7172
1/12/2019,11479
1/13/2019,11924
1/14/2019,12013
1/15/2019,12339
1/16/2019,11861
1/17/2019,8280
1/18/2019,7195
1/19/2019,10602
1/20/2019,12242
1/21/2019,12086
1/22/2019,11949
1/23/2019,11910
1/24/2019,8235
1/25/2019,7186
1/26/2019,11728
1/27/2019,11882
1/28/2019,11602
1/29/2019,11967
1/30/2019,11571
1/31/2019,7987
2/1/2019,7139
2/2/2019,11480
2/3/2019,12079
2/4/2019,11924
2/5/2019,11821
2/6/2019,11656
2/7/2019,8285
2/8/2019,7265
2/9/2019,11937
2/10/2019,12291
2/11/2019,11911
2/12/2019,12285
2/13/2019,11321
2/14/2019,8390
2/15/2019,7508
2/16/2019,11038
2/17/2019,11952
2/18/2019,12061
2/19/2019,11968
2/20/2019,11864
2/21/2019,8343
2/22/2019,7254
2/23/2019,11260
2/24/2019,11941
2/25/2019,11828
2/26/2019,11672
2/27/2019,11596
2/28/2019,7989
3/1/2019,7273
3/2/2019,11609
3/3/2019,12402
3/4/2019,11927
3/5/2019,11681
3/6/2019,11612
3/7/2019,7980
3/8/2019,6929
3/9/2019,11678
3/10/2019,12282
3/11/2019,11850
3/12/2019,12042
3/13/2019,10940
3/14/2019,8217
3/15/2019,7202
3/16/2019,11537
3/17/2019,12312
3/18/2019,11807
3/19/2019,11721
3/20/2019,12040
3/21/2019,8080
3/22/2019,7171
3/23/2019,11674
3/24/2019,12333
3/25/2019,11872
3/26/2019,12065
3/27/2019,11629
3/28/2019,8071
3/29/2019,7125
3/30/2019,11500
3/31/2019,12362
4/1/2019,11596
4/2/2019,12296
4/3/2019,11234
4/4/2019,7981
4/5/2019,6821
4/6/2019,11455
4/7/2019,12334
4/8/2019,11976
4/9/2019,11874
4/10/2019,11724
4/11/2019,8092
4/12/2019,7141
4/13/2019,11503
4/14/2019,12309
4/15/2019,11794
4/16/2019,11947
4/17/2019,11718
4/18/2019,8028
4/19/2019,7180
4/20/2019,11513
4/21/2019,12173
4/22/2019,11917
4/23/2019,11877
4/24/2019,11749
4/25/2019,8101
4/26/2019,7178
4/27/2019,11494
4/28/2019,12221
4/29/2019,11775
4/30/2019,11831
5/1/2019,12178
5/2/2019,8075
5/3/2019,7195
5/4/2019,11724
5/5/2019,12618
5/6/2019,11924
5/7/2019,11649
5/8/2019,11810
5/9/2019,8216
5/10/2019,7246
5/11/2019,11549
5/12/2019,12400
5/13/2019,11572
5/14/2019,11793
5/15/2019,12306
5/16/2019,8337
5/17/2019,7354
5/18/2019,11708
5/19/2019,12469
5/20/2019,12352
5/21/2019,12246
5/22/2019,12147
5/23/2019,8267
5/24/2019,7261
5/25/2019,7746
5/26/2019,12242
5/27/2019,12845
5/28/2019,12722
5/29/2019,12168
5/30/2019,8431
5/31/2019,7367
6/1/2019,11793
6/2/2019,11994
6/3/2019,11890
6/4/2019,11918
6/5/2019,12303
6/6/2019,8313
6/7/2019,7230
6/8/2019,11938
6/9/2019,12479
6/10/2019,12123
6/11/2019,12029
6/12/2019,12064
6/13/2019,8104
6/14/2019,7292
6/15/2019,12348
6/16/2019,12400
6/17/2019,12192
6/18/2019,12323
6/19/2019,11767
6/20/2019,8451
6/21/2019,7580
6/22/2019,11883
6/23/2019,12351
6/24/2019,12292
6/25/2019,12416
6/26/2019,12152
6/27/2019,8652
6/28/2019,7371
6/29/2019,11961
6/30/2019,12932
7/1/2019,13033
7/2/2019,13038
7/3/2019,10375
7/4/2019,7944
7/5/2019,7164
7/6/2019,12088
7/7/2019,13426
7/8/2019,12788
7/9/2019,12517
7/10/2019,12396
7/11/2019,8769
7/12/2019,7591
7/13/2019,11835
7/14/2019,12862
7/15/2019,12853
7/16/2019,12502
7/17/2019,12291
7/18/2019,8546
7/19/2019,7681
7/20/2019,12424
7/21/2019,13264
7/22/2019,12519
7/23/2019,12852
7/24/2019,12612
7/25/2019,8748
7/26/2019,7836
7/27/2019,12416
7/28/2019,13240
7/29/2019,12739
7/30/2019,12797
7/31/2019,12269
8/1/2019,8851
8/2/2019,7907
8/3/2019,12449
8/4/2019,13149
8/5/2019,12793
8/6/2019,12872
8/7/2019,12770
8/8/2019,8956
8/9/2019,7726
8/10/2019,12333
8/11/2019,13010
8/12/2019,12960
8/13/2019,12591
8/14/2019,12861
8/15/2019,8938
8/16/2019,7896
8/17/2019,12337
8/18/2019,13197
8/19/2019,12966
8/20/2019,13002
8/21/2019,12834
8/22/2019,9153
8/23/2019,7821
8/24/2019,12274
8/25/2019,13149
8/26/2019,12729
8/27/2019,12829
8/28/2019,12719
8/29/2019,8772
8/30/2019,7805
8/31/2019,12142
9/1/2019,13231
9/2/2019,12799
9/3/2019,12839
9/4/2019,12862
9/5/2019,8950
9/6/2019,7778
9/7/2019,8127
9/8/2019,12823
9/9/2019,13949
9/10/2019,13925
9/11/2019,12295
9/12/2019,9062
9/13/2019,7900
9/14/2019,12699
9/15/2019,13439
9/16/2019,13136
9/17/2019,13319
9/18/2019,13229
9/19/2019,9195
9/20/2019,8078
9/21/2019,12567
9/22/2019,13047
9/23/2019,12595
9/24/2019,12942
9/25/2019,12792
9/26/2019,8927
9/27/2019,7778
9/28/2019,12158
9/29/2019,12791
9/30/2019,12284
10/1/2019,13043
10/2/2019,12399
10/3/2019,8579
10/4/2019,7530
10/5/2019,12166
10/6/2019,12520
10/7/2019,12429
10/8/2019,12458
10/9/2019,12282
10/10/2019,8550
10/11/2019,7571
10/12/2019,11633
10/13/2019,12094
10/14/2019,12205
10/15/2019,12522
10/16/2019,11917
10/17/2019,8233
10/18/2019,7211
10/19/2019,11388
10/20/2019,12500
10/21/2019,12093
10/22/2019,12013
10/23/2019,11942
10/24/2019,8239
10/25/2019,7288
10/26/2019,11923
10/27/2019,12485
