date,supplies,postcode
1/1/2013,10,2016
1/2/2013,10,2153
1/3/2013,9,4211
1/4/2013,4,2448
1/5/2013,9,3216
1/6/2013,9,2210
1/7/2013,4,2650
1/8/2013,12,2023
1/9/2013,8,3044
1/10/2013,4,4557
1/11/2013,6,3799
1/12/2013,8,2760
1/13/2013,9,2428
1/14/2013,4,3331
1/15/2013,9,3058
1/16/2013,12,2135
1/17/2013,9,2233
1/18/2013,8,2444
1/19/2013,7,2650
1/20/2013,10,2153
1/21/2013,3,4413
1/22/2013,5,4740
1/23/2013,7,3218
1/24/2013,4,4868
1/25/2013,7,4116
1/26/2013,11,2519
1/27/2013,12,2135
1/28/2013,9,2756
1/29/2013,9,2170
1/30/2013,8,4005
1/31/2013,6,4127
2/1/2013,8,2535
2/2/2013,1,4726
2/3/2013,4,4805
2/4/2013,10,2212
2/5/2013,8,2207
2/6/2013,9,3350
2/7/2013,10,3931
2/8/2013,8,4018
2/9/2013,2,4670
2/10/2013,3,2480
2/11/2013,6,3212
2/12/2013,4,2322
2/13/2013,9,3198
2/14/2013,9,2210
2/15/2013,10,2047
2/16/2013,5,4503
2/17/2013,8,2145
2/18/2013,3,4350
2/19/2013,8,2142
2/20/2013,10,2029
2/21/2013,10,2127
2/22/2013,6,4280
2/23/2013,9,2166
2/24/2013,9,2046
2/25/2013,10,2026
2/26/2013,7,2765
2/27/2013,8,2749
2/28/2013,9,2745
3/1/2013,8,3752
3/2/2013,10,2153
3/3/2013,10,2217
3/4/2013,10,2230
3/5/2013,7,3046
3/6/2013,7,3183
3/7/2013,12,2070
3/8/2013,10,2213
3/9/2013,6,4208
3/10/2013,8,2774
3/11/2013,8,4133
3/12/2013,8,2756
3/13/2013,9,4213
3/14/2013,5,4170
3/15/2013,9,2153
3/16/2013,10,2073
3/17/2013,1,3561
3/18/2013,6,2330
3/19/2013,8,3977
3/20/2013,12,2204
3/21/2013,11,2086
3/22/2013,11,2226
3/23/2013,11,2075
3/24/2013,12,2038
3/25/2013,12,2069
3/26/2013,11,2100
3/27/2013,10,2233
3/28/2013,9,2166
3/29/2013,10,3133
3/30/2013,10,3070
3/31/2013,7,2777
4/1/2013,10,3133
4/2/2013,11,2125
4/3/2013,8,2766
4/4/2013,10,2209
4/5/2013,9,2160
4/6/2013,12,2065
4/7/2013,10,2150
4/8/2013,9,2168
4/9/2013,12,2046
4/10/2013,10,4171
4/11/2013,10,2155
4/12/2013,9,2517
4/13/2013,12,2096
4/14/2013,8,2750
4/15/2013,11,2217
4/16/2013,8,3977
4/17/2013,12,2093
4/18/2013,11,3204
4/19/2013,4,4300
4/20/2013,9,2170
4/21/2013,1,3844
4/22/2013,8,2168
4/23/2013,6,4226
4/24/2013,10,3192
4/25/2013,7,3070
4/26/2013,2,2485
4/27/2013,9,2097
4/28/2013,2,4817
4/29/2013,8,2516
4/30/2013,8,3074
5/1/2013,10,2213
5/2/2013,4,4508
5/3/2013,1,4405
5/4/2013,5,2452
5/5/2013,9,2142
5/6/2013,7,2205
5/7/2013,3,4132
5/8/2013,8,2145
5/9/2013,1,4744
5/10/2013,11,2158
5/11/2013,6,3201
5/12/2013,3,4178
5/13/2013,10,2112
5/14/2013,9,2033
5/15/2013,1,4401
5/16/2013,9,3186
5/17/2013,11,2097
5/18/2013,9,3058
5/19/2013,6,4017
5/20/2013,3,2315
5/21/2013,5,2285
5/22/2013,11,2219
5/23/2013,11,2065
5/24/2013,8,3216
5/25/2013,7,4509
5/26/2013,7,2330
5/27/2013,9,2759
5/28/2013,12,2069
5/29/2013,8,2747
5/30/2013,8,2227
5/31/2013,10,2025
6/1/2013,11,3191
6/2/2013,8,3025
6/3/2013,6,2263
6/4/2013,10,2233
6/5/2013,11,2154
6/6/2013,10,2065
6/7/2013,10,2119
6/8/2013,10,3016
6/9/2013,4,4113
6/10/2013,10,2032
6/11/2013,4,4300
6/12/2013,6,4352
6/13/2013,6,3020
6/14/2013,9,2116
6/15/2013,8,3057
6/16/2013,11,2099
6/17/2013,4,3749
6/18/2013,8,2766
6/19/2013,9,2148
6/20/2013,11,3145
6/21/2013,8,2021
6/22/2013,5,2333
6/23/2013,7,2783
6/24/2013,9,2280
6/25/2013,8,4120
6/26/2013,1,3638
6/27/2013,4,4300
6/28/2013,10,2074
6/29/2013,1,2880
6/30/2013,5,2430
7/1/2013,7,4560
7/2/2013,10,2088
7/3/2013,11,2220
7/4/2013,4,3031
7/5/2013,9,2250
7/6/2013,7,2261
7/7/2013,6,3196
7/8/2013,7,4352
7/9/2013,5,4680
7/10/2013,9,3143
7/11/2013,8,2747
7/12/2013,12,2063
7/13/2013,7,3021
7/14/2013,8,2138
7/15/2013,2,4005
7/16/2013,9,2233
7/17/2013,5,4811
7/18/2013,11,2085
7/19/2013,10,3084
7/20/2013,9,3170
7/21/2013,9,2066
7/22/2013,8,4113
7/23/2013,7,4078
7/24/2013,11,2222
7/25/2013,9,3152
7/26/2013,10,2159
7/27/2013,4,4503
7/28/2013,4,4655
7/29/2013,9,4220
7/30/2013,3,4012
7/31/2013,10,2153
8/1/2013,11,2070
8/2/2013,8,2015
8/3/2013,8,2776
8/4/2013,8,3011
8/5/2013,8,2761
8/6/2013,11,2015
8/7/2013,7,2502
8/8/2013,12,2110
8/9/2013,9,2566
8/10/2013,7,2519
8/11/2013,9,2506
8/12/2013,7,2209
8/13/2013,10,2116
8/14/2013,11,2075
8/15/2013,10,2226
8/16/2013,9,2145
8/17/2013,10,2508
8/18/2013,10,2036
8/19/2013,8,2018
8/20/2013,2,3666
8/21/2013,11,2021
8/22/2013,8,2750
8/23/2013,3,4514
8/24/2013,9,2525
8/25/2013,7,4152
8/26/2013,9,2200
8/27/2013,8,2250
8/28/2013,6,3023
8/29/2013,1,3500
8/30/2013,5,4300
8/31/2013,4,2283
9/1/2013,10,2102
9/2/2013,11,2204
9/3/2013,10,2040
9/4/2013,8,2749
9/5/2013,7,2304
9/6/2013,7,2340
9/7/2013,1,3580
9/8/2013,2,3355
9/9/2013,7,2287
9/10/2013,5,2324
9/11/2013,6,2323
9/12/2013,6,2320
9/13/2013,2,4680
9/14/2013,1,2346
9/15/2013,10,2031
9/16/2013,9,2064
9/17/2013,10,2176
9/18/2013,9,3195
9/19/2013,10,2010
9/20/2013,10,2768
9/21/2013,9,2752
9/22/2013,7,3802
9/23/2013,10,3071
9/24/2013,2,4735
9/25/2013,12,2065
9/26/2013,9,3081
9/27/2013,8,3205
9/28/2013,4,2165
9/29/2013,8,3125
9/30/2013,8,4214
10/1/2013,12,2030
10/2/2013,11,2036
10/3/2013,8,2767
10/4/2013,6,2798
10/5/2013,5,4211
10/6/2013,6,4508
10/7/2013,11,2032
10/8/2013,12,2117
10/9/2013,7,4551
10/10/2013,8,2765
10/11/2013,7,3064
10/12/2013,9,2023
10/13/2013,9,2766
10/14/2013,5,3810
10/15/2013,8,4151
10/16/2013,2,2830
10/17/2013,7,3030
10/18/2013,6,4812
10/19/2013,8,2141
10/20/2013,7,3810
10/21/2013,8,3029
10/22/2013,9,2173
10/23/2013,9,3199
10/24/2013,7,2320
10/25/2013,7,4506
10/26/2013,9,2516
10/27/2013,11,2035
10/28/2013,4,2747
10/29/2013,3,3030
10/30/2013,9,3152
10/31/2013,5,3340
11/1/2013,7,3182
11/2/2013,9,2450
11/3/2013,10,2227
11/4/2013,10,2216
11/5/2013,8,3796
11/6/2013,3,3064
11/7/2013,10,3197
11/8/2013,7,3064
11/9/2013,10,2232
11/10/2013,2,2365
11/11/2013,8,2747
11/12/2013,2,4701
11/13/2013,5,4503
11/14/2013,6,4350
11/15/2013,9,4210
11/16/2013,9,2223
11/17/2013,8,4122
11/18/2013,10,2515
11/19/2013,8,4214
11/20/2013,8,3437
11/21/2013,4,3338
11/22/2013,9,2203
11/23/2013,8,2088
11/24/2013,8,4226
11/25/2013,5,4213
11/26/2013,2,3356
11/27/2013,6,3223
11/28/2013,8,3032
11/29/2013,10,3105
11/30/2013,12,3101
12/1/2013,8,2763
12/2/2013,10,2089
12/3/2013,8,2759
12/4/2013,10,2040
12/5/2013,11,2126
12/6/2013,9,2147
12/7/2013,9,2251
12/8/2013,10,2155
12/9/2013,9,2153
12/10/2013,10,2768
12/11/2013,11,3127
12/12/2013,9,3087
12/13/2013,10,3131
12/14/2013,6,4350
12/15/2013,9,3134
12/16/2013,5,2830
12/17/2013,8,2193
12/18/2013,3,4055
12/19/2013,9,3199
12/20/2013,9,2170
12/21/2013,4,2322
12/22/2013,7,2530
12/23/2013,11,2075
12/24/2013,7,2340
12/25/2013,12,2066
12/26/2013,9,4217
12/27/2013,5,4020
12/28/2013,10,2096
12/29/2013,12,2179
12/30/2013,6,4127
12/31/2013,10,3130
1/1/2014,4,4570
1/2/2014,4,3215
1/3/2014,8,3101
1/4/2014,9,3931
1/5/2014,10,3165
1/6/2014,9,2166
1/7/2014,7,3936
1/8/2014,5,2265
1/9/2014,9,2203
1/10/2014,7,3034
1/11/2014,1,4670
1/12/2014,12,2062
1/13/2014,5,2162
1/14/2014,8,4170
1/15/2014,7,3033
